DendroID,date_time,Radius,newRadius,jumpStart
ET2a,2022-12-27T16:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T17:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T17:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-27T17:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T17:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-27T18:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T18:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-27T18:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T18:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-27T19:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T19:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T19:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T19:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T20:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T20:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T20:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T20:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T21:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T21:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T21:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T21:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T22:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T22:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T22:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T22:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T23:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T23:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T23:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-27T23:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T00:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T00:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T00:30:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T00:45:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T01:00:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T01:15:00Z,2184.056903612249,2356.032027382189,NA
ET2a,2022-12-28T01:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T01:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T02:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T02:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T02:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T02:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T03:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T03:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T03:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T03:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T04:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T04:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T04:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T04:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T05:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T05:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T05:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T05:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T06:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T06:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T06:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T06:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T07:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T07:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T07:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T07:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T08:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T08:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T08:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T08:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T09:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T09:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T09:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T09:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T10:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T10:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T10:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T10:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T11:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T11:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T11:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T11:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T12:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T12:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T12:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T12:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T13:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T13:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T13:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T13:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T14:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T14:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T14:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T14:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T15:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T15:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T15:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T15:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T16:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T16:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T16:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T16:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T17:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T17:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T17:30:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T17:45:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T18:00:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T18:15:00Z,2184.3285862722328,2356.303710042173,NA
ET2a,2022-12-28T18:30:00Z,2184.3285862722328,2356.303710042173,NA
